Time,Stress
0,2.02609
0.1,2.02253
1,1.9905
1.1,1.98769
1.2,1.98609
1.3,1.98459
1.6,1.9796
1.8,1.97563
2,1.97254
2.3,1.96842
2.6,1.96449
2.8,1.96199
3,1.95968
3.2,1.95727
3.3,1.95684
3.7,1.95212
4,1.94908
4.1,1.94838
4.3,1.94634
4.5,1.9445
4.6,1.94386
5,1.94072
5.2,1.93896
5.4,1.93744
5.6,1.93559
5.7,1.93493
5.9,1.93391
6.1,1.93178
6.2,1.93135
6.6,1.92892
7.2,1.9253
8.3,1.91859
9.4,1.91329
9.6,1.9124
9.9,1.91054
10.1,1.9089
10.3,1.9081
10.6,1.90727
10.8,1.90636
11,1.90474
11.1,1.90401
11.4,1.90298
11.7,1.90244
12,1.90231
12.2,1.90036
12.7,1.89773
12.9,1.89766
13.3,1.8954
13.4,1.89512
13.5,1.89488
13.6,1.89481
13.8,1.89386
14,1.89304
14.1,1.89269
14.3,1.8916
15,1.88963
15.7,1.88751
15.9,1.88616
16.1,1.88572
16.5,1.88498
16.8,1.88363
17,1.88274
17.3,1.88182
17.6,1.88161
17.8,1.88035
18.1,1.879
18.4,1.87855
18.6,1.87809
18.9,1.87723
19.5,1.87535
19.7,1.8746
20.2,1.8733
20.5,1.87311
20.9,1.87132
22.5,1.86726
22.9,1.86614
23,1.866
23.4,1.86553
23.7,1.86446
23.9,1.86396
24.1,1.86364
24.3,1.8629
24.5,1.86284
25.1,1.86092
25.3,1.86043
25.6,1.86017
26.2,1.85893
26.8,1.85673
27.1,1.85628
27.4,1.85618
27.6,1.85481
27.9,1.85398
28.3,1.85394
29.5,1.85116
31.4,1.84769
31.5,1.84766
32.4,1.8456
32.7,1.84557
33.1,1.84463
33.4,1.84442
33.7,1.84332
33.9,1.84304
34.3,1.84259
36.1,1.83908
36.4,1.83898
36.9,1.8379
37.2,1.83757
38.9,1.83492
39.1,1.83473
40,1.83241
40.1,1.8323
40.2,1.83223
40.5,1.83208
41.7,1.83017
42.2,1.8293
42.3,1.82921
42.6,1.8292
43.4,1.82746
43.7,1.82741
44,1.82705
44.5,1.82585
44.8,1.82566
45,1.8256
46,1.82415
46.2,1.82391
46.3,1.82384
46.9,1.82292
47.2,1.82263
47.7,1.82245
48.7,1.81992
49,1.81978
49.7,1.81963
50,1.81855
50.2,1.81819
50.6,1.81772
51.1,1.81738
52.7,1.81506
53.1,1.815
53.3,1.81429
53.5,1.81395
53.7,1.8138
53.9,1.81368
57.9,1.80902
58.1,1.80804
58.7,1.80788
58.9,1.80774
59.3,1.80755
59.4,1.80752
59.7,1.80743
59.9,1.80738
60.2,1.80634
60.3,1.80629
61.3,1.80591
61.6,1.80482
61.8,1.8048
63,1.80369
66,1.80045
67,1.79923
67.4,1.79825
67.9,1.7977
68.1,1.79764
68.7,1.79748
71.5,1.79449
71.7,1.79443
72.5,1.79425
74.1,1.79216
74.6,1.79199
74.9,1.79113
75.6,1.79112
75.8,1.79013
76,1.7895
76.3,1.78929
77.3,1.78907
82,1.78499
82.2,1.78478
82.4,1.78474
83,1.78372
84.6,1.78214
85.1,1.7821
86.6,1.78089
87.3,1.78065
87.7,1.77991
88.2,1.77968
88.4,1.77954
90.1,1.7774
90.4,1.77739
